,Item_Fat_Content,Item_MRP,Item_Outlet_Sales,Item_Type_Category,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Outlet_Location_Type,Outlet_Size,Outlet_Type
0,Low Fat,249.8092,3735.138,FOOD,0.016047301,9.3,1999,OUT049,Tier 1,Medium,Supermarket Type1
1,Regular,48.2692,443.4228,Drinks,0.019278216,5.92,2009,OUT018,Tier 3,Medium,Supermarket Type2
2,Low Fat,141.618,2097.27,FOOD,0.016760075,17.5,1999,OUT049,Tier 1,Medium,Supermarket Type1
3,Regular,182.095,732.38,FOOD,0.06595278007399345,19.2,1998,OUT010,Tier 3,Medium,Grocery Store
4,Low Fat,53.8614,994.7052,Non-Consumable,0.06595278007399345,8.93,1987,OUT013,Tier 3,High,Supermarket Type1
5,Regular,51.4008,556.6088,FOOD,0.06595278007399345,10.395,2009,OUT018,Tier 3,Medium,Supermarket Type2
6,Regular,57.6588,343.5528,FOOD,0.012741088999999999,13.65,1987,OUT013,Tier 3,High,Supermarket Type1
7,Low Fat,107.7622,4022.7636,FOOD,0.127469857,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
8,Regular,96.9726,1076.5986,FOOD,0.016687114,16.2,2002,OUT045,Tier 2,Medium,Supermarket Type1
9,Regular,187.8214,4710.535,FOOD,0.09444959,19.2,2007,OUT017,Tier 2,Medium,Supermarket Type1
10,Low Fat,45.5402,1516.0266,FOOD,0.06595278007399345,11.8,1999,OUT049,Tier 1,Medium,Supermarket Type1
11,Regular,144.1102,2187.153,FOOD,0.045463773,18.5,1997,OUT046,Tier 1,Small,Supermarket Type1
12,Regular,145.4786,1589.2646,FOOD,0.1000135,15.1,1999,OUT049,Tier 1,Medium,Supermarket Type1
13,Regular,119.6782,2145.2076,FOOD,0.047257328,17.6,1997,OUT046,Tier 1,Small,Supermarket Type1
14,Low Fat,196.4426,1977.4260000000002,FOOD,0.06802430000000001,16.35,1987,OUT013,Tier 3,High,Supermarket Type1
15,Regular,56.3614,1547.3192,FOOD,0.06908896099999999,9.0,1997,OUT046,Tier 1,Small,Supermarket Type1
16,Low Fat,115.3492,1621.8888,Non-Consumable,0.008596051,11.8,2009,OUT018,Tier 3,Medium,Supermarket Type2
17,Regular,54.3614,718.3982,FOOD,0.06919637599999999,9.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
18,Low Fat,113.2834,2303.6679999999997,Drinks,0.034237682,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
19,Low Fat,230.5352,2748.4224,FOOD,0.10249212,13.35,2004,OUT035,Tier 2,Small,Supermarket Type1
20,Regular,250.8724,3775.086,FOOD,0.138190277,18.85,1987,OUT013,Tier 3,High,Supermarket Type1
21,Regular,144.5444,4064.0432,FOOD,0.035399923,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
22,Low Fat,196.5084,1587.2672,Non-Consumable,0.025698133999999997,14.6,2004,OUT035,Tier 2,Small,Supermarket Type1
23,Low Fat,107.6938,214.3876,FOOD,0.057556998,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
24,Regular,165.021,4078.025,FOOD,0.025896485,13.85,1997,OUT046,Tier 1,Small,Supermarket Type1
25,Low Fat,45.906000000000006,838.908,Non-Consumable,0.099887103,13.0,2007,OUT017,Tier 2,Medium,Supermarket Type1
26,Regular,42.3112,1065.28,FOOD,0.06669343700000001,7.645,2004,OUT035,Tier 2,Small,Supermarket Type1
27,Low Fat,39.1164,308.9312,Drinks,0.019356131999999998,11.65,1987,OUT013,Tier 3,High,Supermarket Type1
28,Regular,45.5086,178.4344,FOOD,0.161466534,5.925,1998,OUT010,Tier 3,Medium,Grocery Store
29,Regular,43.6454,125.8362,FOOD,0.072221801,12.792854228644991,1985,OUT019,Tier 1,Small,Grocery Store
30,Low Fat,55.7956,163.7868,FOOD,0.17034855100000001,19.25,1998,OUT010,Tier 3,Medium,Grocery Store
31,Low Fat,96.4436,2741.7644,Non-Consumable,0.080829372,18.6,2009,OUT018,Tier 3,Medium,Supermarket Type2
32,Low Fat,256.6672,3068.0064,FOOD,0.06595278007399345,18.7,2009,OUT018,Tier 3,Medium,Supermarket Type2
33,Low Fat,93.1436,2174.5028,FOOD,0.06595278007399345,17.85,2002,OUT045,Tier 2,Medium,Supermarket Type1
34,Low Fat,174.8738,2085.2856,Drinks,0.097904029,17.5,1997,OUT046,Tier 1,Small,Supermarket Type1
35,Low Fat,146.7102,3791.0652,Non-Consumable,0.08929113699999999,10.0,1999,OUT049,Tier 1,Medium,Supermarket Type1
36,Regular,128.0678,2797.6916,FOOD,0.059511812000000004,12.792854228644991,1985,OUT027,Tier 3,Medium,Supermarket Type3
